ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_OU_L8,E_OU_L9,E_OU_L10,E_OU_L11,E_OU_L12,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,E_OU_L8_CODE,E_OU_L9_CODE,E_OU_L10_CODE,E_OU_L11_CODE,E_OU_L12_CODE,ServerUpdate,ServerCreate,UserUpdate,UserCreate,DateCreate,DateUpdate,UserLockID,DateLock,IsDelete,IPCreate,IPUpdate,E_COMPANY_E,E_BRANCH_E,E_UNIT_E,E_DIVISION_E,E_DEPARTMENT_E,E_TEAM_E,E_SECTION_E,SortID,OrgParent1,OrgParent2,OrgParentCode1,OrgParentCode2,OrgParentEN1,OrgParentEN2
F2588D9B-2EBF-4598-B9FB-002BD3FFD02B,D68CC0E9-DF7C-41C9-9749-DE2E901F3BD3,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Wash Phong Phú,Bộ phận HCNS - Kế Toán,Hành chánh nhân sự,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_280000,280200,280201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CÔNG TY CP QU?C T? PHONG PHÚ,NULL,NULL,NULL,3700723,Bộ phận HCNS - Kế Toán,Nhà máy Wash Phong Phú,280200,FC_280000,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ
17C3CF2B-30FE-4AB5-8356-0032DAD0D8E2,7ABCC41B-34E6-4B35-A514-C0F4BEF240D0,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,Chuyền may,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_410000,411000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CHI NHÁNH QU?NG TR? - CÔNG TY C? PH?N QU?C T? PHONG PHÚ,NULL,NULL,NULL,3700502,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,CÔNG TY CP QUỐC TẾ PHONG PHÚ,FC_410000,PPJ,CHI NHÁNH QUẢNG TRỊ - CÔNG TY CỔ PHẦN QUỐC TẾ PHONG PHÚ,
A97A6767-B67A-4BAB-A0DB-004A3A30DEC7,1AFCF3CB-DC0A-4696-AE92-57679750FCA1,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Văn phòng Chi nhánh Đà Nẵng,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,340000,390001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CHI NHÁNH TP ÐÀ N?NG - CÔNG TY CP QU?C T? PHONG PHÚ ,NULL,NULL,NULL,3699705,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,CÔNG TY CP QUỐC TẾ PHONG PHÚ,340000,PPJ,CHI NHÁNH TP ĐÀ NẴNG - CÔNG TY CP QUỐC TẾ PHONG PHÚ ,
20753F01-BF9E-4B89-95C2-007E0CFEE24B,E190E38E-BA4E-4469-B487-43816FAD2A31,PHONG PHÚ GROUP,NULL,CÔNG TY TNHH DỆT MAY VTJ TOMS,Nhà Máy May,BP. Hoàn Tất,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_VIT,FC_VIT_11000,V11007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3699560,Nhà Máy May,CÔNG TY TNHH DỆT MAY VTJ TOMS,FC_VIT_11000,FC_VIT,NULL,NULL
CE5EB782-1B22-4E06-B389-0094BB5DC9D0,1507161D-0AB4-485D-BE1A-25BE7460B089,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,Khối Nghiệp Vụ,Phòng Nhân sự & Tuyển dụng,BP. VSCN,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,600000,620000,621000,621006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3699315,Phòng Nhân sự & Tuyển dụng,Khối Nghiệp Vụ,621000,620000,NULL,NULL
DC4C4427-9A7D-40DD-ABFE-00A518DBD5A2,8159C54C-9A80-40A3-9755-1966FD186E30,PHONG PHÚ GROUP,NULL,CÔNG TY TNHH DỆT MAY VTJ TOMS,Phòng Kế Toán,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_VIT,FC_VIT_30000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3699222,CÔNG TY TNHH DỆT MAY VTJ TOMS,PHONG PHÚ GROUP,FC_VIT,PPG,NULL,
7F5A275C-AD8F-4CD3-B63C-00B92AD9969F,B6DFE6F3-92F4-4E98-9FD6-68B0310425BD,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 2 (B1),Xưởng May,Chuyền 13,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,600000,FC_633000,633005,633145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3699842,Xưởng May,NM May 2 (B1),633005,FC_633000,NULL,NULL
234EE47B-1402-443A-8F8C-00BF07343B89,82C8BF0D-29A7-41CB-82E8-6BA79D02D879,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Chi nhánh VTJ TP. Đà Nẵng,Nhà máy Dệt 1,Xưởng Dệt,Tổ Văn minh Công nghiệp,NULL,NULL,NULL,NULL,NULL,PPG,NULL,VTJ,VTJÐN,581400,581430,581437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,CÔNG TY C? PH?N VINATEX QU?C T?,NULL,NULL,NULL,NULL,3699878,Xưởng Dệt,Nhà máy Dệt 1,581430,581400,NULL,NULL
FA2681DF-14D0-4E77-A214-00CFE75EBD8E,C5E30708-511E-476C-B10C-1577586516FE,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may Jeans Xuất Khẩu,Chuyền may,Chuyền 13,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_230000,231000,231005B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CÔNG TY CP QU?C T? PHONG PHÚ,NULL,NULL,NULL,3699183,Chuyền may,Nhà máy may Jeans Xuất Khẩu,231000,FC_230000,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ
3FA52078-0200-4609-AA24-00EE47133DE6,6159DAB9-97B5-496B-A3C1-111FB0609EE9,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,Bộ phận Nhà ăn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_410000,411500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CHI NHÁNH QU?NG TR? - CÔNG TY C? PH?N QU?C T? PHONG PHÚ,NULL,NULL,NULL,3699157,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,CÔNG TY CP QUỐC TẾ PHONG PHÚ,FC_410000,PPJ,CHI NHÁNH QUẢNG TRỊ - CÔNG TY CỔ PHẦN QUỐC TẾ PHONG PHÚ,
