ID,Code,ProfileID,DateEffective,OrganizationStructureID,PositionID,CostCentreID,LaborType,EmployeeTypeID,PayrollGroupID,WorkLocation,Supervisor,ServerUpdate,ServerCreate,UserUpdate,UserCreate,DateCreate,DateUpdate,UserLockID,DateLock,IsDelete,IPCreate,IPUpdate,JobTitleID,Status,FileAttach,Note,Description,RequirCondit,Rromotion,ShortTasks,LongTasks,Role,IsJobTitleMain,DecisionNo,DecisionDate,DecisionPersion,LocationCode,OrgOld,PositionOld,LaborTypeOld,CostCentreOld,PayrollGroupOld,WorkLocationOld,LocationCodeOld,JobTitleOld,EmployeeTypeOld,SupervisorOld,CodeOld,OrgLineDefaultID,ProducteLineDefaultID,FormType,CodeEmp,IsExistentConcurrentPosition,PositionType,PositionRate,ShopID,JRType,UserApprove,SalaryClassID,Duration,DateNotice,TypeOfTransferID,DateComeBack,SalaryClassNameOld,OrgStructureOldID,CostSourceID,HighSupervisor,AbilityTileID,SubjectGroupID,SubjectID,EmployeeGroupID,NationalityGroupID,CostActivityID,JobDescription,Permission,TaskLongTerm,TaskShortTerm,CompanyID,WorkPlaceID,RegionID,SuggetedUserID,DateSugget,SortID,PayrollCategoryID,MidSupervisor,UnitStructureID,UserSubmit,UserApproveID,UserApproveID2,UserApproveID3,UserApproveID4,UserProcessID,UserProcessID2,UserProcessID3,UserProcessID4,DateProcess,DateProcess2,DateProcess3,DateProcess4,SkillLevel,UsualAllowanceGroupID,CompanyOldID,DelegateCompanyID,ReplaceForProfileID,ReplaceForReasonID,IsCreateBasicSalary,IsNotComputProductSalary,TypeWorkHistory,AreaPostJobWorkID,IsUpdateProfile,NoSendMail
DAC993D6-73DD-450A-83D9-0208926C1ADB,NULL,4C9463A2-C992-48D7-915F-811AE201F2C8,6/25/2020 0:00,1560D69A-B684-4762-913D-003400F3952E,746DF068-4B43-4E97-99F8-6AB764B9AE2B,NULL,NULL,NULL,NULL,NULL,NULL,24.24.24.57,24.24.24.57,nhu.luong,nhu.luong,6/30/2020 13:53,6/30/2020 13:53,NULL,NULL,NULL,NULL,NULL,B94F4355-F566-423C-B2E3-AE2654091C1C,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/25/2020 0:00,NULL,NULL,NULL,Công nhân,NULL,NULL,NULL,Nhà máy may xuất khẩu Phong Phú Long An,NULL,Công nhân kiểm tra chất lượng (đo thông số),NULL,NULL,NULL,NULL,NULL,NULL,114406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14E435CD-089C-47D5-972E-F13155814A10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2D6506E5-83A7-4876-99EB-8E3258EE7243,0AD27857-C499-4EC6-A779-4F74D6298209,NULL,NULL,NULL,108014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2D6506E5-83A7-4876-99EB-8E3258EE7243,NULL,NULL,NULL,NULL,NULL,E_ACTUAL,NULL,1,NULL
BA8B4524-A822-491C-A3E4-0269063B0BFC,NULL,79F2F545-FCE5-46D2-B03F-4C575F39E58C,5/7/2019 0:00,A6E73089-7117-45B0-A4FD-A9A37CA6C6DC,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,E_DIRECT,044A3A4F-5556-4007-B48A-7976ADEC345C,NULL,NULL,NULL,192.168.24.149,192.168.24.149,nhu.luong,nhu.luong,5/8/2019 16:34,5/8/2019 16:34,NULL,NULL,NULL,192.168.24.149,192.168.24.149,1A58745E-0D1C-4BBB-B3E3-3E0B62F3223E,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Công nhân,E_DIRECT,NULL,NULL,NULL,NULL,Công nhân vận hành máy may (May công nghiệp),Công nhân trực tiếp sản xuất,NULL,NULL,NULL,NULL,NULL,84808,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36C2F61F-307C-4A51-A150-0022D957F0D3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2D6506E5-83A7-4876-99EB-8E3258EE7243,0AD27857-C499-4EC6-A779-4F74D6298209,NULL,NULL,NULL,80675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2D6506E5-83A7-4876-99EB-8E3258EE7243,NULL,NULL,NULL,NULL,NULL,E_ACTUAL,NULL,1,NULL
E65F465E-2994-4E94-90C6-034C28DA76D8,NULL,B82F829A-1F4F-49A6-A120-47DC5B939022,9/17/2015 0:00,D1739D97-7FCF-433B-BCB9-00B023B3A35B,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,E_DIRECT,044A3A4F-5556-4007-B48A-7976ADEC345C,5BB552BD-F00C-4784-89E2-5F552BF7A540,NULL,52474,CFFBEA4C-7A7E-457E-89F8-DF7FAD281F0D,NULL,nthchinh,nthchinh,9/28/2015 14:05,5/21/2020 14:48,NULL,NULL,NULL,192.168.26.180,NULL,656BEEDA-E5F2-4E55-BAD6-5230A8D918F0,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76888,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Trực tiếp SX
Công nhân mài chà nhám , Phun hóa chất",NULL,NULL,NULL,25E62C81-CB1A-4273-86E0-77593DAFF184,NULL,NULL,NULL,NULL,502,NULL,50102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
59A97770-60BF-47B9-B470-04AB64C717AF,NULL,9272769A-28DA-4506-8034-727643E1463E,2/9/2017 0:00,6FDEEE1B-4BAB-4155-95A9-005B5669EEAE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vnr,ctoi,2/9/2017 15:25,6/14/2019 18:36,NULL,NULL,NULL,NULL,NULL,NULL,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BC59C03F-8774-470F-90DE-91C899280F1E,NULL,NULL,NULL,NULL,45910,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
E708DB6A-4F52-470E-B03D-05A668A7E893,NULL,A65AF4F7-857D-43A5-8CA6-1D761127B646,5/21/2020 0:00,85B54972-10DC-4660-A518-00B6B840020A,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nthoa,nthoa,5/25/2020 11:51,5/25/2020 11:51,NULL,NULL,NULL,NULL,NULL,D503B3E6-B9C5-484E-9ACE-E9E50B1463ED,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Công nhân,NULL,NULL,NULL,NULL,NULL,Công nhân mài quần bò (giao nhận),NULL,NULL,NULL,NULL,NULL,NULL,110733,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85B54972-10DC-4660-A518-00B6B840020A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CA996696-1290-46BC-A4BB-C74B26AE56BD,NULL,NULL,NULL,NULL,104387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CA996696-1290-46BC-A4BB-C74B26AE56BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6108CDD5-8B94-4062-8186-05B4A3E1D943,NULL,E98786F5-C9C2-439A-87F2-3594893EA0E1,3/11/2015 0:00,85B54972-10DC-4660-A518-00B6B840020A,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,E_DIRECT,044A3A4F-5556-4007-B48A-7976ADEC345C,5BB552BD-F00C-4784-89E2-5F552BF7A540,,42163,AB0A7182-3358-40D1-B236-5D6AD0CA51FA,NULL,Vnr,hnhieu,3/17/2015 14:34,6/14/2019 18:36,NULL,NULL,NULL,192.168.23.97,192.168.23.97,AB0A7182-3358-40D1-B236-5D6AD0CA51FA,E_APPROVED,NULL,NULL,"Công nhân mài, chà quần bò",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bộ phận thời trang ,Công nhân,NULL,NULL,,,NULL,"Công nhân mài, chà quần bò",NULL,NULL,NULL,NULL,NULL,NULL,71639,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CA996696-1290-46BC-A4BB-C74B26AE56BD,NULL,NULL,NULL,NULL,848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
8F9B23BE-89AA-4B35-8A16-0639A560215A,NULL,D094FA03-AA6E-4ABC-9937-CFA04E682E11,7/5/2019 0:00,6FDEEE1B-4BAB-4155-95A9-005B5669EEAE,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,NULL,NULL,DB18A177-006E-4CAA-A9EF-77FCB5B7DAE2,NULL,NULL,NULL,NULL,ctoi,ctoi,7/8/2019 16:44,6/2/2020 9:56,NULL,NULL,NULL,NULL,NULL,1A58745E-0D1C-4BBB-B3E3-3E0B62F3223E,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BC59C03F-8774-470F-90DE-91C899280F1E,NULL,NULL,NULL,NULL,85547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
1E8BF0A4-DB2C-4AFB-B3F2-0C453F91B288,NULL,E75E6E2D-2B98-443D-BB75-2FA047657E3F,8/24/2017 0:00,85B54972-10DC-4660-A518-00B6B840020A,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,NULL,NULL,5BB552BD-F00C-4784-89E2-5F552BF7A540,NULL,42163,NULL,NULL,Vnr,hnhieu,8/24/2017 10:26,6/14/2019 18:36,NULL,NULL,NULL,NULL,NULL,15D35F43-96A6-4B55-866B-C86832A34D9F,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CA996696-1290-46BC-A4BB-C74B26AE56BD,NULL,NULL,NULL,NULL,52586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
E2E043F1-7D13-4A77-ADAA-0E3DFF953337,NULL,4B85FC3E-F085-4FA7-A9D6-31640EB9407D,8/24/2016 0:00,6FDEEE1B-4BAB-4155-95A9-005B5669EEAE,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,NULL,NULL,DB18A177-006E-4CAA-A9EF-77FCB5B7DAE2,NULL,NULL,NULL,NULL,Vnr,ctoi,6/18/2016 16:49,6/14/2019 18:36,NULL,NULL,NULL,192.168.30.90,NULL,NULL,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,542549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BC59C03F-8774-470F-90DE-91C899280F1E,NULL,NULL,NULL,NULL,38448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
F0199265-A357-42EC-8E73-0F2BB0BCE289,NULL,3C923BCC-89C4-458E-8980-2790203FDB5E,9/17/2015 0:00,D1739D97-7FCF-433B-BCB9-00B023B3A35B,D67C6BDA-49AA-4DB9-A2C0-69D884506392,NULL,E_DIRECT,044A3A4F-5556-4007-B48A-7976ADEC345C,5BB552BD-F00C-4784-89E2-5F552BF7A540,NULL,50215,CFFBEA4C-7A7E-457E-89F8-DF7FAD281F0D,NULL,Vnr,nthchinh,9/28/2015 14:07,6/14/2019 18:36,NULL,NULL,NULL,192.168.26.180,NULL,6550C8C9-76CE-48D8-9D96-7F8BC19D1A32,E_APPROVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25E62C81-CB1A-4273-86E0-77593DAFF184,NULL,NULL,NULL,NULL,2302,NULL,50102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
